                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.61494,                0.40591,                0.89262,                0.57196,                0.48477,                0.49025,                0.30986,                 1.7163,                 1.8885,                 1.5357,             0.00061203,             0.00061203,             0.00061203
                     36,                0.59019,                 0.4009,                0.88407,                0.57181,                0.45565,                0.47518,                0.29862,                  1.738,                 1.9226,                 1.5631,             0.00060303,             0.00060303,             0.00060303
                     37,                0.58307,                  0.388,                0.87936,                0.58609,                0.45502,                0.46942,                0.30963,                 1.6351,                 1.9394,                 1.4883,             0.00059403,             0.00059403,             0.00059403
                     38,                0.56776,                0.37549,                 0.8768,                0.58928,                0.48203,                0.48206,                0.30756,                 1.6666,                 1.8118,                 1.5319,             0.00058503,             0.00058503,             0.00058503
                     39,                0.56317,                0.37206,                0.87339,                0.57031,                0.45571,                0.46879,                0.28638,                 1.8155,                 1.9386,                 1.6146,             0.00057603,             0.00057603,             0.00057603
                     40,                0.54057,                0.36285,                0.86905,                0.57332,                 0.4708,                 0.4724,                0.29968,                 1.7013,                 1.9485,                 1.5742,             0.00056703,             0.00056703,             0.00056703
                     41,                0.53676,                0.36171,                0.86578,                0.55909,                0.47689,                0.48044,                0.30465,                 1.6954,                 1.8753,                 1.5251,             0.00055804,             0.00055804,             0.00055804
                     42,                0.53202,                0.35874,                0.86154,                0.57139,                0.46394,                 0.4749,                0.29867,                 1.7309,                 1.9778,                 1.5669,             0.00054904,             0.00054904,             0.00054904
                     43,                0.51598,                0.36885,                0.85916,                0.56533,                 0.4665,                0.47463,                0.30063,                 1.7226,                 2.0065,                 1.5741,             0.00054004,             0.00054004,             0.00054004
                     44,                0.49948,                0.34448,                0.85493,                0.58505,                0.47106,                 0.4833,                0.30906,                 1.6886,                 1.9364,                 1.5473,             0.00053104,             0.00053104,             0.00053104
                     45,                0.49188,                0.34311,                0.85152,                 0.6142,                0.46689,                 0.4869,                0.30619,                 1.7239,                 1.9927,                 1.5765,             0.00052204,             0.00052204,             0.00052204
                     46,                 0.4807,                0.32813,                0.84951,                0.58265,                0.47415,                0.47956,                0.30374,                 1.7133,                 1.9393,                 1.5654,             0.00051304,             0.00051304,             0.00051304
                     47,                0.48191,                0.32994,                0.84902,                 0.6006,                0.46426,                0.47578,                0.30247,                  1.686,                 1.8746,                  1.571,             0.00050404,             0.00050404,             0.00050404
                     48,                0.46541,                0.31811,                0.84258,                0.60441,                0.46815,                0.48004,                0.30314,                 1.7302,                 2.0388,                 1.5904,             0.00049504,             0.00049504,             0.00049504
                     49,                0.45745,                0.32719,                0.84023,                0.60399,                 0.4579,                0.47035,                0.30039,                 1.6998,                 1.9189,                 1.5587,             0.00048604,             0.00048604,             0.00048604
                     50,                0.44644,                0.30899,                0.83825,                0.58751,                0.46212,                0.47564,                0.30338,                 1.6949,                 1.9393,                 1.5742,             0.00047704,             0.00047704,             0.00047704
                     51,                 0.4478,                0.33999,                0.84061,                 0.6037,                0.43915,                0.47601,                0.30138,                 1.7487,                 2.0471,                 1.6235,             0.00046804,             0.00046804,             0.00046804
                     52,                0.42764,                0.30402,                0.83468,                0.63394,                0.43646,                0.47982,                0.30945,                 1.7037,                  1.958,                 1.5796,             0.00045904,             0.00045904,             0.00045904
                     53,                0.42917,                0.31703,                0.83303,                 0.5925,                0.47221,                0.48196,                0.30227,                 1.7454,                 1.9773,                 1.6084,             0.00045005,             0.00045005,             0.00045005
                     54,                 0.4168,                0.29232,                0.83109,                0.56378,                0.46785,                0.47245,                 0.3022,                  1.708,                 2.0287,                 1.5998,             0.00044105,             0.00044105,             0.00044105
                     55,                0.42121,                0.30619,                0.83755,                0.59741,                0.44922,                0.48388,                0.30323,                 1.7429,                 2.0397,                 1.6008,             0.00043205,             0.00043205,             0.00043205
