               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.055782,             0.13719,            0.014736,             0.53236,             0.44606,             0.44152,             0.23102,             0.05711,             0.10898,            0.021051,            0.006436,            0.006436,            0.006436
                  38,            0.055141,             0.13715,            0.013942,               0.516,             0.46519,             0.43901,             0.23975,            0.055754,             0.10593,            0.020086,            0.006337,            0.006337,            0.006337
                  39,            0.055538,             0.14075,            0.013668,             0.51482,             0.46381,             0.43628,              0.2376,            0.056638,             0.10447,             0.01949,            0.006238,            0.006238,            0.006238
                  40,            0.055701,             0.13627,            0.014102,              0.4836,             0.46571,             0.41926,             0.22718,            0.058098,             0.10745,            0.023222,            0.006139,            0.006139,            0.006139
                  41,             0.05509,             0.13559,            0.013884,             0.51974,             0.43318,             0.42064,             0.23137,            0.055684,             0.10906,            0.021701,             0.00604,             0.00604,             0.00604
                  42,            0.054688,             0.14105,            0.013373,             0.51803,             0.44465,             0.43384,             0.24042,            0.055759,             0.10976,            0.019679,            0.005941,            0.005941,            0.005941
                  43,            0.054416,             0.13552,            0.012723,             0.55349,              0.4488,             0.44755,             0.23311,             0.05735,             0.10616,            0.020136,            0.005842,            0.005842,            0.005842
                  44,            0.054887,             0.13848,            0.012853,             0.48708,             0.46138,             0.43678,             0.24525,            0.055417,               0.106,            0.019237,            0.005743,            0.005743,            0.005743
                  45,            0.054364,             0.13775,            0.012023,             0.51615,             0.47406,             0.44338,             0.23717,            0.055494,              0.1073,            0.020376,            0.005644,            0.005644,            0.005644
                  46,            0.053936,             0.13129,            0.011854,             0.54176,             0.45443,              0.4376,             0.23148,            0.057216,             0.10825,            0.023331,            0.005545,            0.005545,            0.005545
                  47,            0.054053,             0.13664,            0.012169,             0.52447,             0.45564,             0.44473,             0.25278,             0.05564,             0.10927,            0.019436,            0.005446,            0.005446,            0.005446
                  48,            0.054385,             0.13932,            0.011844,             0.52703,             0.48177,             0.43906,             0.24306,            0.054881,             0.10778,            0.023474,            0.005347,            0.005347,            0.005347
                  49,            0.053438,             0.13572,            0.011404,             0.53023,             0.48251,             0.46034,             0.24951,            0.055334,             0.10672,            0.020105,            0.005248,            0.005248,            0.005248
                  50,            0.053505,              0.1338,             0.01086,             0.52419,             0.47724,             0.45484,             0.25044,            0.055666,             0.10496,            0.020045,            0.005149,            0.005149,            0.005149
                  51,            0.052884,              0.1288,            0.010799,             0.52449,             0.42837,             0.42717,             0.25175,            0.055434,             0.11111,            0.022776,             0.00505,             0.00505,             0.00505
                  52,            0.053529,             0.13255,            0.010944,             0.53126,              0.4377,             0.43477,             0.24072,            0.056133,               0.107,            0.019367,            0.004951,            0.004951,            0.004951
                  53,            0.053215,             0.13472,            0.011409,             0.54151,             0.47028,             0.45939,             0.26779,            0.053572,             0.10557,            0.019957,            0.004852,            0.004852,            0.004852
                  54,             0.05315,             0.13194,            0.011349,             0.53271,             0.45504,             0.44478,             0.24086,            0.055958,             0.10991,            0.019838,            0.004753,            0.004753,            0.004753
                  55,            0.052575,             0.13404,            0.011135,             0.52142,             0.45673,              0.4339,             0.24705,            0.054493,             0.10773,            0.024604,            0.004654,            0.004654,            0.004654
                  56,              0.0528,             0.12736,            0.010784,             0.58053,             0.46128,             0.45823,             0.25662,            0.055014,             0.10665,            0.021527,            0.004555,            0.004555,            0.004555
                  57,             0.05211,             0.13197,            0.010415,              0.5699,             0.46953,             0.46332,             0.26502,            0.053888,             0.10795,            0.021601,            0.004456,            0.004456,            0.004456
                  58,            0.052847,             0.13024,           0.0097052,             0.54405,             0.45877,             0.44165,             0.24649,            0.055079,             0.10813,             0.02288,            0.004357,            0.004357,            0.004357
                  59,            0.052546,             0.12817,            0.010242,             0.53153,             0.45309,             0.44518,             0.24491,            0.055066,             0.10848,            0.020804,            0.004258,            0.004258,            0.004258
                  60,            0.052028,             0.12659,           0.0098169,             0.53528,             0.46185,             0.44782,             0.25191,            0.055234,             0.10893,            0.021761,            0.004159,            0.004159,            0.004159
                  61,            0.051715,             0.12829,            0.010003,             0.52145,             0.43956,             0.43561,             0.24899,            0.055336,             0.11013,            0.019799,             0.00406,             0.00406,             0.00406
                  62,            0.051457,             0.12639,           0.0095592,             0.54884,             0.47333,             0.46307,             0.25665,            0.055443,             0.10709,            0.020789,            0.003961,            0.003961,            0.003961
                  63,            0.051901,             0.12982,           0.0096971,             0.57324,              0.4514,             0.45527,             0.25727,            0.054158,             0.10664,            0.021307,            0.003862,            0.003862,            0.003862
                  64,            0.051821,             0.13068,           0.0087875,             0.57609,             0.47122,             0.46386,             0.26207,             0.05406,              0.1064,            0.020975,            0.003763,            0.003763,            0.003763
                  65,            0.051047,             0.12964,            0.009866,             0.56378,             0.44696,             0.44477,              0.2525,            0.056158,             0.11038,            0.019837,            0.003664,            0.003664,            0.003664
                  66,            0.051367,             0.12591,           0.0089519,             0.56827,             0.44737,              0.4519,             0.25345,            0.054668,             0.10993,            0.021321,            0.003565,            0.003565,            0.003565
                  67,            0.050768,             0.12591,           0.0092242,             0.54493,             0.48283,             0.45941,             0.25899,            0.054902,             0.10875,            0.022084,            0.003466,            0.003466,            0.003466
                  68,            0.051259,             0.13324,           0.0082072,             0.54167,             0.47864,             0.46494,             0.25824,            0.054681,             0.10772,            0.021417,            0.003367,            0.003367,            0.003367
                  69,            0.050896,             0.12749,           0.0085261,              0.5477,             0.46968,             0.46207,              0.2621,            0.054418,             0.10964,            0.019971,            0.003268,            0.003268,            0.003268
                  70,            0.050789,             0.12847,           0.0086107,             0.57046,             0.45753,             0.45038,             0.25229,            0.055227,              0.1121,            0.021326,            0.003169,            0.003169,            0.003169
                  71,            0.050335,             0.12476,           0.0085448,             0.58038,             0.45133,             0.46172,             0.26606,            0.054445,             0.11096,            0.019663,             0.00307,             0.00307,             0.00307
                  72,            0.050488,             0.13123,           0.0091851,             0.55736,             0.45336,              0.4477,             0.25527,            0.055397,             0.11222,            0.021645,            0.002971,            0.002971,            0.002971
                  73,            0.049868,             0.12544,           0.0080761,             0.54279,             0.47464,             0.46877,             0.26825,            0.054431,             0.10988,            0.020412,            0.002872,            0.002872,            0.002872
                  74,            0.050039,             0.12293,           0.0083784,             0.57393,             0.46613,             0.46745,             0.26738,            0.054446,             0.10974,            0.020177,            0.002773,            0.002773,            0.002773
                  75,            0.049918,             0.12521,           0.0080067,              0.5593,             0.48071,             0.46952,             0.27026,            0.054209,             0.10997,            0.020674,            0.002674,            0.002674,            0.002674
                  76,            0.050028,             0.12386,           0.0082956,             0.56788,             0.48191,             0.47284,             0.26836,            0.054501,             0.11004,            0.020126,            0.002575,            0.002575,            0.002575
                  77,            0.049721,             0.12152,           0.0083706,             0.54301,             0.45668,              0.4462,             0.25769,            0.055037,             0.11345,            0.022084,            0.002476,            0.002476,            0.002476
                  78,            0.049688,             0.12292,           0.0083917,             0.56099,             0.47106,             0.46389,             0.26906,            0.054401,             0.11064,            0.020326,            0.002377,            0.002377,            0.002377
